Date,Active,Deaths,Recovered
"2020-03-04",2,0,0
"2020-03-05",4,0,0
"2020-03-06",4,0,0
"2020-03-07",5,0,0
"2020-03-08",7,0,0
"2020-03-09",9,0,0
"2020-03-10",12,0,0
"2020-03-11",13,0,0
"2020-03-12",15,0,1
"2020-03-13",18,0,1
"2020-03-14",29,0,1
"2020-03-15",30,1,1
"2020-03-16",36,1,2
"2020-03-17",47,1,2
"2020-03-18",55,1,2
"2020-03-19",70,1,2
"2020-03-20",74,4,7
"2020-03-21",92,4,7
"2020-03-22",109,6,16
"2020-03-23",138,8,21
"2020-03-24",157,9,21
"2020-03-25",195,10,21
"2020-03-26",223,10,28
"2020-03-27",256,10,34
"2020-03-28",298,11,34
"2020-03-29",361,13,34
"2020-03-30",398,15,34
"2020-03-31",439,16,37
"2020-04-01",465,20,40
"2020-04-02",522,21,42
"2020-04-03",554,26,43
"2020-04-04",588,32,58
"2020-04-05",633,34,66
"2020-04-06",639,38,67
"2020-04-07",699,47,71
"2020-04-08",743,58,94
"2020-04-09",818,66,96
"2020-04-10",1001,77,112
"2020-04-11",1110,85,115
"2020-04-12",1193,99,118
"2020-04-13",1229,109,120
"2020-04-14",1268,122,122
"2020-04-15",1253,132,192
"2020-04-16",1311,142,199
"2020-04-17",1400,156,207
"2020-04-18",1431,172,231
"2020-04-19",1477,189,250
"2020-04-20",1518,199,267
"2020-04-21",1598,213,287
"2020-04-22",1648,225,295
"2020-04-23",1655,239,390
"2020-04-24",1732,250,401
"2020-04-25",1723,262,458
"2020-04-26",1743,272,485
"2020-04-27",1804,280,498
"2020-04-28",1853,280,516
